instance_id,grid_type,method,success,expansions,runtime_sec,path_cost
135,rooms,classic,1,846,0.002716541290283203,62.0
135,rooms,residual_learned,1,130,0.028779983520507812,62.0
136,rooms,classic,1,846,0.003500699996948242,62.0
136,rooms,residual_learned,1,130,0.023836135864257812,62.0
137,rooms,classic,1,846,0.0028476715087890625,62.0
137,rooms,residual_learned,1,130,0.021279573440551758,62.0
138,rooms,classic,1,846,0.002749204635620117,62.0
138,rooms,residual_learned,1,130,0.02167344093322754,62.0
139,rooms,classic,1,846,0.0027039051055908203,62.0
139,rooms,residual_learned,1,130,0.02646183967590332,62.0
140,rooms,classic,1,846,0.002933025360107422,62.0
140,rooms,residual_learned,1,130,0.021696090698242188,62.0
141,rooms,classic,1,846,0.0028002262115478516,62.0
141,rooms,residual_learned,1,130,0.021733760833740234,62.0
142,rooms,classic,1,846,0.0027723312377929688,62.0
142,rooms,residual_learned,1,130,0.02371811866760254,62.0
143,rooms,classic,1,846,0.003108501434326172,62.0
143,rooms,residual_learned,1,130,0.023197412490844727,62.0
144,rooms,classic,1,846,0.003278493881225586,62.0
144,rooms,residual_learned,1,130,0.03303122520446777,62.0
145,rooms,classic,1,846,0.0040738582611083984,62.0
145,rooms,residual_learned,1,130,0.03149247169494629,62.0
146,rooms,classic,1,846,0.00529789924621582,62.0
146,rooms,residual_learned,1,130,0.04596662521362305,62.0
147,rooms,classic,1,846,0.015156269073486328,62.0
147,rooms,residual_learned,1,130,0.056218624114990234,62.0
148,rooms,classic,1,846,0.005101919174194336,62.0
148,rooms,residual_learned,1,130,0.08602142333984375,62.0
149,rooms,classic,1,846,0.0057828426361083984,62.0
149,rooms,residual_learned,1,130,0.03634357452392578,62.0
150,rooms,classic,1,846,0.0040891170501708984,62.0
150,rooms,residual_learned,1,130,0.029571056365966797,62.0
